PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %)
BIJAPUR (SC),29,966,36,2490,90,4,44,29,38,68,41
CHIKKODI,29,960,39,4175,97,3,36,31,38,66,41
RAICHUR (ST),29,1012,31,1548,85,1,44,34,48,71,50
BAGALKOT,29,963,34,2642,92,6,41,33,41,66,40
BELGAUM,29,960,39,4175,97,3,36,31,38,66,41
KOPPAL,29,989,27,2052,83,3,47,29,48,70,51
UTTARA KANNADA,29,1008,42,3392,95,4,37,25,34,57,41
HAVERI,29,935,35,3081,94,8,39,31,37,67,46
DHARWAD,29,931,40,2682,96,5,40,27,39,57,49
BELLARY (ST),29,952,26,3005,86,3,49,26,53,72,49
CHITRADURGA (SC),29,974,45,4555,96,3,28,29,27,59,48
DAVANAGERE,29,951,45,2566,97,6,46,22,41,65,46
SHIMOGA,29,1089,47,4933,97,6,28,17,26,55,46
UDUPI CHIKMAGALUR,29,1098,46,3072,97,7,21,21,23,57,43
CHIKKBALLAPUR,29,951,54,5338,97,4,29,23,27,52,43
TUMKUR,29,1003,44,4683,96,3,28,26,26,53,52
HASSAN,29,1068,43,3127,97,8,24,20,25,55,44
KOLAR (SC),29,961,46,3913,96,3,32,18,27,57,44
DAKSHINA KANNADA,29,1032,51,3163,97,2,23,17,21,54,45
BANGALORE RURAL,29,965,53,5595,97,4,28,25,26,51,46
BANGALORE NORTH,29,898,67,7469,96,4,28,28,26,51,39
BANGALORE CENTRAL,29,898,67,7469,96,4,28,28,26,51,39
MANDYA,29,1028,46,3452,96,5,21,20,22,57,45
BANGALORE SOUTH,29,898,67,7469,96,4,28,28,26,51,39
MYSORE,29,1061,47,4097,96,6,27,16,25,53,41
