PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %),Rural_MPCE_URP,Urban_MPCE_URP,Rural_MPCE_MRP,Urban_MPCE_MRP,Rural_LFPR,Urban_LFPR
KHAMMAM,35,1036,36,3206,94,5,26,13,22,72,71,1508.852658,2373.020278,1477.064408,2291.310418,0.658669396190158,0.465282290818925
MALKAJGIRI,35,950,56,3457,96,6,20,14,21,51,54,1806.098405,2039.896811,1942.982098,2302.55508,0.641583344157784,0.528195863905357
CHEVELLA,35,967,55,4203,95,5,26,14,25,48,54,1806.098405,2039.896811,1942.982098,2302.55508,0.641583344157784,0.535708254588511
KAKINADA,39,927,35,1843,96,12,27,15,27,63,64,1622.839058,2444.833598,1609.106054,2433.454274,0.592962100618594,0.530493144591048
SECUNDERABAD,35,934,58,2711,97,6,15,14,16,54,54,0,0,0,0,0,0.520683473222202
ELURU,39,1028,37,2650,96,6,25,17,28,56,59,1961.703929,2757.362276,1917.805798,2810.8933855,0.67680428700929,0.519644559907774
HYDERABAD,35,934,58,2711,97,6,15,14,16,54,54,0,0,0,0,0,0.520683473222202
NALGONDA,35,988,34,4038,94,8,28,23,34,69,56,1628.228216,1978.564835,1676.704378,2048.857969,0.671774591870594,0.534290081163171
MAHBUBNAGAR,35,1007,30,3504,78,5,37,18,34,64,50,1497.414145,1992.469655,1546.981018,2024.386805,0.757554007498506,0.44380853051735
RAJAHMUNDRY,39,973,35,2480,97,9,28,15,28,59,62,1755.021677,2450.0965165,1732.625341,2516.3838365,0.601762347372924,0.537315493214256
VIJAYAWADA,39,1037,38,2183,96,5,22,20,27,58,59,2036.203562,3059.365117,1979.466968,3022.473372,0.743045979891326,0.495151277978085
NAGARKURNOOL(SC),35,1007,30,3504,78,5,37,18,34,64,50,1497.414145,1992.469655,1546.981018,2024.386805,0.757554007498506,0.44380853051735
AMALAPURAM (SC),39,927,35,1843,96,12,27,15,27,63,64,1622.839058,2444.833598,1609.106054,2433.454274,0.592962100618594,0.530493144591048
NARSAPURAM,39,1020,35,3118,97,6,28,14,30,55,59,1887.204296,2455.359435,1856.144628,2599.313399,0.610562594127254,0.544137841837463
NARASARAOPET,39,1015,30,1267,97,9,22,17,29,68,57,1763.007164,3226.814608,1709.628893,2892.391611,0.75374886150473,0.495689853109339
MACHILIPATNAM,39,1037,38,2183,96,5,22,20,27,58,59,2036.203562,3059.365117,1979.466968,3022.473372,0.743045979891326,0.495151277978085
GUNTUR,39,1015,30,1267,97,9,22,17,29,68,57,1763.007164,3226.814608,1709.628893,2892.391611,0.75374886150473,0.495689853109339
ONGOLE,39,1016,28,1616,91,11,28,15,30,56,57,1468.554597,1995.714998,1553.999981,1970.287402,0.671821323158986,0.573875467691945
BAPATLA (SC),39,1015,29,1441,94,10,25,16,29,62,57,1615.7808805,2611.264803,1631.814437,2431.3395065,0.712785092331858,0.534782660400642
NANDYAL,39,1021,24,1310,75,2,44,18,37,54,54,1107.930269,2439.439602,1200.694161,2198.000285,0.765994055093608,0.537597216150828
